,Date,Price
1,24-Mar-10,22.273
2,25-Mar-10,22.194
3,26-Mar-10,22.085
4,29-Mar-10,22.174
5,30-Mar-10,22.184
6,31-Mar-10,22.134
7,1-Apr-10,22.234
8,5-Apr-10,22.432
9,6-Apr-10,22.244
10,7-Apr-10,22.293
11,8-Apr-10,22.154
12,9-Apr-10,22.393
13,12-Apr-10,22.382
14,13-Apr-10,22.611
15,14-Apr-10,23.356
16,15-Apr-10,24.052
17,16-Apr-10,23.753
18,19-Apr-10,23.832
19,20-Apr-10,23.952
20,21-Apr-10,23.634
21,22-Apr-10,23.823
22,23-Apr-10,23.872
23,26-Apr-10,23.654
24,27-Apr-10,23.187
25,28-Apr-10,23.098
26,29-Apr-10,23.326
27,30-Apr-10,22.681
28,3-May-10,23.098
29,4-May-10,22.403
30,5-May-10,22.173
